Letter,Count,Ratio
e,98542051,0.12473
t,72115119,0.09128
a,63817136,0.08078
o,60120033,0.07610
i,55625385,0.07041
n,55082833,0.06972
s,50095171,0.06341
r,47835433,0.06055
h,47166953,0.05970
d,33176678,0.04199
l,31874441,0.04035
u,22532711,0.02852
c,21501841,0.02722
m,20400146,0.02582
f,18382996,0.02327
w,16685223,0.02112
g,15638702,0.01980
y,14772529,0.01870
p,14761215,0.01868
b,12261709,0.01552
v,7820919,0.00990
k,5620468,0.00711
x,1426625,0.00181
j,1278614,0.00162
q,885415,0.00112
z,595180,0.00075
